Position: ('1.3540517903540858', '-0.12217123453085643', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.3138654996177115', '-0.11759293787049752', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.2735628347504693', '-0.1130013830744675', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.232946977669568', '-0.10837414728276529', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.1927025710124681', '-0.10378922965986148', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.1526524074199882', '-0.09922644153330507', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.0920838260131291', '-0.09232605513544556', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.0518120793752646', '-0.08773802275523712', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.01156352231', '-0.08315263228949366', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('0.9713231237716489', '-0.07856817129884819', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('0.9310787177149269', '-0.07398325374434334', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('0.8908341681680336', '-0.06939831984245937', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('0.8505897621113121', '-0.06481340228795451', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('0.8103452125644188', '-0.060228468386070544', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('0.7700693155183891', '-0.055639963163021666', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('0.7298993424362203', '-0.05106352552125837', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('0.6898547611517287', '-0.0465013733693479', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('0.6496103550950059', '-0.041916455814843157', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('0.6093658055481135', '-0.037331521912959076', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.526553339503863', '-0.35177158538586273', '1.1056512786484292')
Velocity: ('0.0', '0.0', '0.0')
Position: ('1.540767360105574', '-0.3118632786086065', '1.1625010245793792')
Velocity: ('0.10869028772331737', '0.38923486268455054', '0.0')
Position: ('1.5449463195134974', '-0.22951620032976205', '1.0767050375875067')
Velocity: ('0.08952753600320022', '0.6667975500789493', '0.0')
Position: ('1.7646322882573333', '-0.22192679412686878', '1.0192046462928543')
Velocity: ('0.8128225033098235', '0.3928934397864806', '0.0')
Position: ('1.7580316527853284', '-0.1574599592284016', '0.9743869908941073')
Velocity: ('0.4962467282938753', '0.5339912628523675', '0.0')
Position: ('1.8080099202660014', '-0.10368034387671421', '0.9743869908941073')
Velocity: ('0.4962467282938753', '0.5339912628523675', '0.0')
Position: ('1.8577080192500475', '-0.05020220664225228', '0.9743869908941073')
Velocity: ('0.4962467282938753', '0.5339912628523675', '0.0')
Position: ('1.8050933975784083', '-0.09828790353765615', '1.0848040777602999')
Velocity: ('0.3025580346271214', '0.1708997640935569', '0.0')
Position: ('1.7708793841679533', '-0.08726043815262408', '1.0810410116528233')
Velocity: ('0.19755560587689486', '0.16641703840945682', '0.0')
Position: ('1.7237399426871431', '-0.07335719575309885', '1.0472158004013206')
Velocity: ('0.0720852849673897', '0.14755987985757388', '0.0')
Position: ('1.7202337922666402', '-0.07222789238351657', '1.0500673227338386')
Velocity: ('0.05264786362841554', '0.06798402547826646', '0.0')
Position: ('1.7599866780192928', '-0.061917148894116814', '1.0305327020519162')
Velocity: ('0.11713475795197281', '0.08946850342586082', '0.0')
Position: ('1.8960262945322155', '-0.037524541340789086', '1.0167657426391286')
